1	, 	289	;
2	, 	287	;
3	, 	284	;
4	, 	283	;
5	, 	280	;
6	, 	279	;
7	, 	277	;
8	, 	276	;
9	, 	274	;
10	, 	282	;
11	, 	289	;
12	, 	293	;
13	, 	292	;
14	, 	291	;
15	, 	289	;
16	, 	285	;
17	, 	285	;
18	, 	286	;
19	, 	285	;
20	, 	288	;
21	, 	290	;
22	, 	290	;
23	, 	290	;
24	, 	290	;
25	, 	288	;
26	, 	287	;
27	, 	284	;
28	, 	283	;
29	, 	280	;
30	, 	279	;
31	, 	277	;
32	, 	276	;
33	, 	275	;
34	, 	283	;
35	, 	291	;
36	, 	295	;
37	, 	295	;
38	, 	294	;
39	, 	291	;
40	, 	288	;
41	, 	288	;
42	, 	287	;
43	, 	287	;
44	, 	291	;
45	, 	292	;
46	, 	292	;
47	, 	292	;
48	, 	291	;
49	, 	289	;
50	, 	288	;
51	, 	285	;
52	, 	284	;
53	, 	282	;
54	, 	281	;
55	, 	279	;
56	, 	278	;
57	, 	277	;
58	, 	285	;
59	, 	292	;
60	, 	296	;
61	, 	297	;
62	, 	295	;
63	, 	292	;
64	, 	289	;
65	, 	289	;
66	, 	289	;
67	, 	288	;
68	, 	292	;
69	, 	293	;
70	, 	293	;
71	, 	293	;
72	, 	292	;
73	, 	290	;
74	, 	287	;
75	, 	285	;
76	, 	283	;
77	, 	281	;
78	, 	280	;
79	, 	278	;
80	, 	277	;
81	, 	276	;
82	, 	284	;
83	, 	290	;
84	, 	294	;
85	, 	294	;
86	, 	292	;
87	, 	289	;
88	, 	287	;
89	, 	286	;
90	, 	287	;
91	, 	286	;
92	, 	289	;
93	, 	290	;
94	, 	290	;
95	, 	290	;
96	, 	289	;
97	, 	287	;
98	, 	284	;
99	, 	281	;
100	, 	279	;
101	, 	277	;
102	, 	275	;
103	, 	274	;
104	, 	273	;
105	, 	272	;
106	, 	280	;
107	, 	287	;
108	, 	290	;
109	, 	291	;
110	, 	289	;
111	, 	286	;
112	, 	283	;
113	, 	283	;
114	, 	284	;
115	, 	283	;
116	, 	287	;
117	, 	288	;
118	, 	288	;
119	, 	288	;
120	, 	287	;
121	, 	285	;
122	, 	282	;
123	, 	280	;
124	, 	278	;
125	, 	276	;
126	, 	275	;
127	, 	274	;
128	, 	273	;
129	, 	272	;
130	, 	280	;
131	, 	286	;
132	, 	289	;
133	, 	289	;
134	, 	286	;
135	, 	283	;
136	, 	280	;
137	, 	281	;
138	, 	282	;
139	, 	281	;
140	, 	285	;
141	, 	287	;
142	, 	287	;
143	, 	286	;
144	, 	286	;
145	, 	284	;
146	, 	282	;
147	, 	279	;
148	, 	277	;
149	, 	276	;
150	, 	274	;
151	, 	274	;
152	, 	274	;
153	, 	272	;
154	, 	280	;
155	, 	286	;
156	, 	290	;
157	, 	290	;
158	, 	287	;
159	, 	283	;
160	, 	281	;
161	, 	281	;
162	, 	281	;
163	, 	281	;
164	, 	284	;
165	, 	285	;
166	, 	286	;
167	, 	286	;
168	, 	285	;
169	, 	282	;
170	, 	280	;
171	, 	278	;
172	, 	276	;
173	, 	275	;
174	, 	273	;
175	, 	272	;
176	, 	271	;
177	, 	269	;
178	, 	276	;
179	, 	283	;
180	, 	285	;
181	, 	284	;
182	, 	280	;
183	, 	277	;
184	, 	274	;
185	, 	274	;
186	, 	274	;
187	, 	275	;
188	, 	278	;
189	, 	280	;
190	, 	280	;
191	, 	280	;
192	, 	279	;
193	, 	278	;
194	, 	275	;
195	, 	273	;
196	, 	271	;
197	, 	270	;
198	, 	268	;
199	, 	267	;
200	, 	266	;
201	, 	265	;
202	, 	272	;
203	, 	278	;
204	, 	280	;
205	, 	279	;
206	, 	275	;
207	, 	272	;
208	, 	270	;
209	, 	269	;
210	, 	270	;
211	, 	271	;
212	, 	274	;
213	, 	275	;
214	, 	275	;
215	, 	275	;
216	, 	274	;
217	, 	273	;
218	, 	270	;
219	, 	268	;
220	, 	267	;
221	, 	266	;
222	, 	264	;
223	, 	264	;
224	, 	263	;
225	, 	262	;
226	, 	269	;
227	, 	275	;
228	, 	276	;
229	, 	275	;
230	, 	272	;
231	, 	270	;
232	, 	268	;
233	, 	267	;
234	, 	268	;
235	, 	269	;
236	, 	272	;
237	, 	273	;
238	, 	274	;
239	, 	273	;
240	, 	272	;
241	, 	270	;
242	, 	267	;
243	, 	265	;
244	, 	264	;
245	, 	263	;
246	, 	262	;
247	, 	261	;
248	, 	260	;
249	, 	259	;
250	, 	266	;
251	, 	272	;
252	, 	274	;
253	, 	273	;
254	, 	269	;
255	, 	266	;
256	, 	264	;
257	, 	263	;
258	, 	264	;
259	, 	265	;
260	, 	268	;
261	, 	270	;
262	, 	271	;
263	, 	271	;
264	, 	269	;
265	, 	268	;
266	, 	264	;
267	, 	262	;
268	, 	261	;
269	, 	261	;
270	, 	259	;
271	, 	258	;
272	, 	257	;
273	, 	256	;
274	, 	263	;
275	, 	268	;
276	, 	269	;
277	, 	268	;
278	, 	265	;
279	, 	262	;
280	, 	260	;
281	, 	259	;
282	, 	260	;
283	, 	262	;
284	, 	265	;
285	, 	267	;
286	, 	267	;
287	, 	267	;
288	, 	266	;
289	, 	264	;
290	, 	261	;
291	, 	259	;
292	, 	257	;
293	, 	257	;
294	, 	256	;
295	, 	254	;
296	, 	254	;
297	, 	253	;
298	, 	260	;
299	, 	265	;
300	, 	266	;
301	, 	265	;
302	, 	262	;
303	, 	259	;
304	, 	257	;
305	, 	256	;
306	, 	258	;
307	, 	260	;
308	, 	263	;
309	, 	265	;
310	, 	265	;
311	, 	265	;
312	, 	264	;
313	, 	262	;
314	, 	258	;
315	, 	257	;
316	, 	254	;
317	, 	254	;
318	, 	253	;
319	, 	252	;
320	, 	251	;
321	, 	250	;
322	, 	256	;
323	, 	261	;
324	, 	263	;
325	, 	262	;
